,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
1,Rikitea,PF,77.79,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
3,Sungai Besar,MY,77.23,overcast clouds,3.6746,100.9867,Green Hotel
4,Mizan Teferi,ET,60.96,broken clouds,6.9833,35.5833,ሆቴል ሳላይሽ / Salayesh Hotel
6,Sur,OM,67.21,broken clouds,22.5667,59.5289,Sur Hotel
7,Tena,EC,69.19,light rain,-0.9833,-77.8167,Hotel Villa Belén
8,Chuy,UY,67.55,clear sky,-33.6971,-53.4616,Alerces
10,Rio Grande,BR,70.84,clear sky,-32.035,-52.0986,Hotel Vila Moura Executivo
12,Hermanus,ZA,73.8,light rain,-34.4187,19.2345,Aloe guest house
16,Rio Blanco,MX,63.54,scattered clouds,18.8333,-97.15,Hotel La Laguna
18,Itaituba,BR,74.48,overcast clouds,-4.2761,-55.9836,TG Hotel
19,Puerto Maldonado,PE,71.8,overcast clouds,-12.6,-69.1833,Puerto Palmeras
20,Atuona,PF,78.19,few clouds,-9.8,-139.0333,Pearl Resort
22,Mar Del Plata,AR,69.82,light rain,-38.0023,-57.5575,Nuevo Ostende
25,Mahibadhoo,MV,79.92,scattered clouds,3.7833,72.9667,Coral View Inn
26,Antofagasta,CL,67.28,few clouds,-23.65,-70.4,Hotel Colón
28,Ayakudi,IN,66.45,clear sky,10.45,77.55,Royal park
29,Wellington,NZ,75.58,few clouds,-41.2866,174.7756,Travelodge
30,Inhambane,MZ,77.04,scattered clouds,-23.865,35.3833,Hotel de Inhambane
32,Port Lincoln,AU,70.07,moderate rain,-34.7333,135.8667,Boston Hotel
33,Esperance,AU,62.28,overcast clouds,-33.8667,121.9,Hospitality
34,Hilo,US,78.53,clear sky,19.7297,-155.09,Dolphin Bay Hotel
35,Cidreira,BR,74.23,broken clouds,-30.1811,-50.2056,Hotel Castelo
36,Altamira,BR,72.61,overcast clouds,-3.2033,-52.2064,Hotel Vale do Xingu
37,San Luis,AR,77.14,scattered clouds,-33.295,-66.3356,Hotel Dos Venados
38,Torrevieja,ES,62.44,overcast clouds,37.9787,-0.6822,Hotel Fontana Plaza
39,Camopi,GF,70.83,overcast clouds,3.1655,-52.3158,Chez Lucia
40,Atar,MR,69.28,overcast clouds,20.5169,-13.0499,فندق سكليل
41,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel Iberia
42,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
43,Almeirim,BR,76.08,overcast clouds,-1.5233,-52.5817,Kapejar Hotel
46,Conde,BR,76.46,clear sky,-7.2597,-34.9075,Paladino
47,Upata,VE,74.19,clear sky,8.0086,-62.3989,Hotel Garibardi
48,Cayenne,GF,75.24,overcast clouds,4.9333,-52.3333,Central Hôtel
49,Zuenoula,CI,70.52,clear sky,7.4292,-6.0431,Hotel le Prestige
52,Puerto Escondido,MX,79.63,broken clouds,15.85,-97.0667,Hotel Barlovento
54,Port Elizabeth,ZA,71.31,mist,-33.918,25.5701,Waterford Hotel
55,Humaita,BR,71.94,heavy intensity rain,-7.5061,-63.0208,Humaita Quality Hotel
56,Castro,BR,65.46,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
57,Grand Gaube,MU,79.2,light rain,-20.0064,57.6608,Coco Villa
58,Porto Novo,BJ,75.31,clear sky,6.4965,2.6036,Hôtel 6500 CFA
60,Anastacio,BR,73.85,scattered clouds,-20.4836,-55.8069,Hotel Araras
61,Hithadhoo,MV,79.36,broken clouds,-0.6,73.0833,Pebbles Inn
63,Nova Londrina,BR,77.11,overcast clouds,-22.7658,-52.985,Hotel Felice
64,Minab,IR,61.93,clear sky,27.1467,57.0801,هتل صدف
66,Savalou,BJ,77.16,scattered clouds,7.9281,1.9756,BENIN CALYPSO Hôtel
67,Maraba,BR,75.38,clear sky,-5.3686,-49.1178,Portobelo
68,Cockburn Town,TC,74.25,clear sky,21.4612,-71.1419,The Salt Raker Inn
70,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Grand Bel Air
71,Prado,BR,74.73,few clouds,-17.3411,-39.2208,Pousada Recanto do Prado
73,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Prainha
74,Cape Town,ZA,72.12,clear sky,-33.9258,18.4232,Townhouse Hotel
75,Saint-Philippe,RE,73.11,scattered clouds,-21.3585,55.7679,Le Baril
78,Puerto Leguizamo,CO,71.98,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
79,Marawi,PH,77.02,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
81,Bredasdorp,ZA,69.8,light rain,-34.5322,20.0403,Victoria Hotel
83,Isla Mujeres,MX,73.45,scattered clouds,21.2311,-86.731,Villa La Bella
85,Vao,NC,75.72,overcast clouds,-22.6667,167.4833,Nataiwatch
86,Salalah,OM,73.49,broken clouds,17.0151,54.0924,Muscat International Hotel
87,Alta Floresta,BR,71.2,overcast clouds,-9.8756,-56.0861,Villas Hotel
88,Wanganui,NZ,69.6,few clouds,-39.9333,175.05,The Grand Hotel
89,Taltal,CL,66.47,clear sky,-25.4,-70.4833,Hostería Taltal
90,Rocha,UY,63.86,clear sky,-34.4833,-54.3333,Hotel Municipal
91,Itarema,BR,75.9,overcast clouds,-2.9248,-39.9167,Pousada Oásis
92,Nizwa,OM,61.12,clear sky,22.9333,57.5333,Nizwa Heritage Inn
93,Richards Bay,ZA,71.11,overcast clouds,-28.783,32.0377,Protea Hotel
95,Jatibonico,CU,60.13,clear sky,21.9419,-79.17,La Moderna
96,Puerto Del Rosario,ES,65.95,few clouds,28.5004,-13.8627,Hotel Tamasite
