,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shenzhen,CN,22.5455,114.0683,57.22,82,100,6.51,overcast clouds
1,Leningradskiy,RU,69.3833,178.4167,-31.04,96,10,4.29,clear sky
2,Puerto Ayora,EC,-0.7393,-90.3518,75.54,95,67,5.86,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,77.79,68,2,5.79,clear sky
4,Mataura,NZ,-46.1927,168.8643,68.59,51,87,6.44,overcast clouds
5,Saskylakh,RU,71.9167,114.0833,-24.59,98,49,7.63,scattered clouds
6,Kiruna,SE,67.8557,20.2251,-4.29,96,44,3.53,scattered clouds
7,Sungai Besar,MY,3.6746,100.9867,77.23,81,100,4.81,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,48.31,49,0,18.41,clear sky
9,Mizan Teferi,ET,6.9833,35.5833,60.96,67,79,2.82,broken clouds
10,Dingle,PH,10.9995,122.6711,81.79,82,50,7.81,scattered clouds
11,Avarua,CK,-21.2078,-159.775,82.45,69,75,6.91,light rain
12,Pevek,RU,69.7008,170.3133,-31.41,99,15,1.74,few clouds
13,Salmas,IR,38.1973,44.7653,27.32,87,14,0.45,few clouds
14,Port Alfred,ZA,-33.5906,26.891,73.18,99,100,7.9,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,37.85,85,32,1.63,scattered clouds
16,Kodiak,US,57.79,-152.4072,35.11,93,100,12.66,light rain
17,Sur,OM,22.5667,59.5289,67.21,68,61,3.47,broken clouds
18,Campbellton,CA,48.0075,-66.6727,32.45,98,100,4.74,snow
19,Albany,US,42.6001,-73.9662,29.26,68,10,1.99,clear sky
20,Tena,EC,-0.9833,-77.8167,69.19,98,100,2.77,light rain
21,Chuy,UY,-33.6971,-53.4616,67.55,80,0,8.43,clear sky
22,Victoria,HK,22.2855,114.1577,57.33,78,100,11.01,overcast clouds
23,Vaini,TO,-21.2,-175.2,84.36,74,75,8.05,broken clouds
24,Thunder Bay,CA,48.4001,-89.3168,33.78,93,100,12.66,light snow
25,Taicheng,CN,38.731,113.228,14.02,56,0,6.78,clear sky
26,Payo,ID,-3.7508,103.6372,76.77,92,100,1.41,light rain
27,Rio Grande,BR,-32.035,-52.0986,70.84,83,0,11.56,clear sky
